UserID,SignupDate,Stage,EventDate,ProjectID,Task,TaskStart,TaskEnd,Landing Page Users,Home Page Users, Product Page Users,FlowFrom,FlowTo,FlowValue
U001,2025-09-01,Visited Website,2025-09-01,Proj1,Design,2025-09-05,2025-09-10,80,70,90,Visited Website,Viewed Product,1
U001,2025-09-01,Viewed Product,2025-09-02,Proj1,Development,2025-09-11,2025-09-20,85,75,88,Viewed Product,Added to Cart,1
U001,2025-09-01,Added to Cart,2025-09-04,Proj1,Testing,2025-09-21,2025-09-25,90,85,92,Added to Cart,Checkout,1
U002,2025-09-02,Visited Website,2025-09-02,Proj2,Design,2025-09-06,2025-09-12,65,60,75,Visited Website,Viewed Product,1
U002,2025-09-02,Viewed Product,2025-09-03,Proj2,Development,2025-09-13,2025-09-22,70,65,80,Viewed Product,Abandoned,1
U003,2025-09-03,Visited Website,2025-09-03,Proj3,Design,2025-09-07,2025-09-15,88,80,85,Visited Website,Viewed Product,1
U003,2025-09-03,Viewed Product,2025-09-04,Proj3,Development,2025-09-16,2025-09-25,90,85,87,Viewed Product,Added to Cart,1
U003,2025-09-03,Added to Cart,2025-09-05,Proj3,Testing,2025-09-26,2025-09-30,92,89,90,Added to Cart,Checkout,1
U004,2025-09-05,Visited Website,2025-09-05,Proj4,Design,2025-09-10,2025-09-18,60,55,65,Visited Website,Viewed Product,1
U004,2025-09-05,Viewed Product,2025-09-06,Proj4,Development,2025-09-19,2025-09-28,65,62,68,Viewed Product,Abandoned,1
U005,2025-09-06,Visited Website,2025-09-06,Proj5,Design,2025-09-11,2025-09-19,95,90,93,Visited Website,Viewed Product,1
U005,2025-09-06,Viewed Product,2025-09-07,Proj5,Development,2025-09-20,2025-09-30,98,92,89,Viewed Product,Added to Cart,1
U005,2025-09-06,Added to Cart,2025-09-08,Proj5,Testing,2025-10-01,2025-10-05,100,95,98,Added to Cart,Checkout,1
U006,2025-09-10,Visited Website,2025-09-10,Proj6,Design,2025-09-15,2025-09-23,50,45,55,Visited Website,Viewed Product,1
U006,2025-09-10,Viewed Product,2025-09-11,Proj6,Development,2025-09-24,2025-10-05,55,50,60,Viewed Product,Abandoned,1
U007,2025-09-12,Visited Website,2025-09-12,Proj7,Design,2025-09-17,2025-09-25,82,78,88,Visited Website,Viewed Product,1
U007,2025-09-12,Viewed Product,2025-09-13,Proj7,Development,2025-09-26,2025-10-06,88,82,85,Viewed Product,Added to Cart,1
U007,2025-09-12,Added to Cart,2025-09-14,Proj7,Testing,2025-10-07,2025-10-12,91,87,90,Added to Cart,Checkout,1
U008,2025-09-15,Visited Website,2025-09-15,Proj8,Design,2025-09-20,2025-09-28,75,70,80,Visited Website,Viewed Product,1
U008,2025-09-15,Viewed Product,2025-09-16,Proj8,Development,2025-09-29,2025-10-10,80,75,83,Viewed Product,Added to Cart,1
U008,2025-09-15,Added to Cart,2025-09-17,Proj8,Testing,2025-10-11,2025-10-15,84,80,85,Added to Cart,Checkout,1
U009,2025-09-18,Visited Website,2025-09-18,Proj9,Design,2025-09-23,2025-10-01,68,65,72,Visited Website,Viewed Product,1
U009,2025-09-18,Viewed Product,2025-09-19,Proj9,Development,2025-10-02,2025-10-12,72,68,75,Viewed Product,Abandoned,1
U010,2025-09-20,Visited Website,2025-09-20,Proj10,Design,2025-09-25,2025-10-03,85,80,90,Visited Website,Viewed Product,1
U010,2025-09-20,Viewed Product,2025-09-21,Proj10,Development,2025-10-04,2025-10-14,88,85,87,Viewed Product,Added to Cart,1
U010,2025-09-20,Added to Cart,2025-09-22,Proj10,Testing,2025-10-15,2025-10-20,90,88,89,Added to Cart,Checkout,1
